;1a;1a;1c;2a;2b;2c;3a;3b;3c;3d;4a;4b;4c;4d;5a;5b;5c;5d
1a;;;;;;;;;;;;;;;;;;
1b;;;;;;;;;;;;;;;;;;
1c;;;;;;;;;;;;;;;;;;
2a;5;3;1;;;;;;;;;;;;;;;
2b;3;5;4;;;;;;;;;;;;;;;
2c;1;3;5;;;;;;;;;;;;;;;
3a;3;2;3;4;2;2;;;;;;;;;;;;
3b;3;3;4;5;3;2;;;;;;;;;;;;
3c;3;3;5;3;4;2;;;;;;;;;;;;
3d;2;4;5;3;4;2;;;;;;;;;;;;
4a;3;5;3;3;4;3;2;3;3;2;;;;;;;;
4b;2;4;3;3;5;3;3;3;2;3;;;;;;;;
4c;1;3;2;2;4;3;3;3;5;1;;;;;;;;
4d;5;3;3;3;5;4;3;3;4;4;;;;;;;;
5a;4;2;1;2;3;4;2;4;3;5;2;5;3;2;;;;
5b;3;1;2;1;3;3;2;4;3;3;3;4;3;2;;;;
5c;2;1;3;1;3;3;3;4;3;2;4;3;3;1;;;;
5d;1;2;3;1;1;2;3;5;3;1;3;3;3;2;;;;